trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
28,False,"{'a': 0.6, 'e': 0.5827482523739896}",20,0,-54.95093915174106,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.5712090638488149}",25,17,5.176866177932608,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.559898366565402}",20,0,-137.77633496946322,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
31,False,"{'a': 0.6, 'e': 0.5488116360940265}",20,4,-105.0718446498037,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
32,False,"{'a': 0.6, 'e': 0.5379444375946745}",20,7,4.498256090239229,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.6, 'e': 0.5272924240430485}",25,10,-4.050849834206748,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.5168513344916992}",20,0,-88.05421585039916,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.6, 'e': 0.5066169923655895}",20,0,-45.95662783179871,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.49658530379140947}",25,0,-131.00492812614584,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
37,False,"{'a': 0.6, 'e': 0.4867522559599717}",20,4,23.790880950678485,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.4771139155210344}",25,0,0.033311202933433925,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
39,False,"{'a': 0.6, 'e': 0.46766642700990924}",20,10,3.4051902349520558,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.6, 'e': 0.4584060113052235}",20,0,10.875694866642093,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.6, 'e': 0.44932896411722156}",20,3,-12.573157817729069,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.6, 'e': 0.44043165450599925}",20,0,-33.31890721813969,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.6, 'e': 0.43171052342907973}",30,19,-67.84936996728193,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
44,False,"{'a': 0.6, 'e': 0.4231620823177488}",30,15,-25.454089842387322,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.6, 'e': 0.4147829116815814}",25,14,-15.099020917031448,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.6, 'e': 0.4065696597405991}",20,0,-2.956081212800936,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.6, 'e': 0.39851904108451414}",30,20,9.574473512405012,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.6, 'e': 0.3906278353585211}",25,15,-6.559322241291019,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.6, 'e': 0.38289288597511206}",20,0,6.933809000980441,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
